id,champ_key,name,title,difficulty,range_type,damage_primary,resource_type,image_path,splash_path,loading_path,tile_path
137,Teemo,ティーモ,俊足の斥候,2,Ranged,Magic,マナ,/img/champion/Teemo.png,/img/splash/Teemo_0.jpg,/img/loading/Teemo_0.jpg,/img/tiles/Teemo_0.jpg
138,Thresh,スレッシュ,縛鎖の看守,2,Ranged,Magic,マナ,/img/champion/Thresh.png,/img/splash/Thresh_0.jpg,/img/loading/Thresh_0.jpg,/img/tiles/Thresh_0.jpg
139,Tristana,トリスターナ,ヨードルの主砲,2,Ranged,Physical,マナ,/img/champion/Tristana.png,/img/splash/Tristana_0.jpg,/img/loading/Tristana_0.jpg,/img/tiles/Tristana_0.jpg
140,Trundle,トランドル,トロールキング,2,Melee,Physical,マナ,/img/champion/Trundle.png,/img/splash/Trundle_0.jpg,/img/loading/Trundle_0.jpg,/img/tiles/Trundle_0.jpg
141,Tryndamere,トリンダメア,孤高の蛮王,2,Melee,Physical,フューリー,/img/champion/Tryndamere.png,/img/splash/Tryndamere_0.jpg,/img/loading/Tryndamere_0.jpg,/img/tiles/Tryndamere_0.jpg
142,TwistedFate,ツイステッド・フェイト,不敗のイカサマ師,3,Ranged,Magic,マナ,/img/champion/TwistedFate.png,/img/splash/TwistedFate_0.jpg,/img/loading/TwistedFate_0.jpg,/img/tiles/TwistedFate_0.jpg
143,Twitch,トゥイッチ,黒死のドブネズミ,2,Ranged,Physical,マナ,/img/champion/Twitch.png,/img/splash/Twitch_0.jpg,/img/loading/Twitch_0.jpg,/img/tiles/Twitch_0.jpg
144,Udyr,ウディア,精霊と歩む者,2,Melee,Mixed,マナ,/img/champion/Udyr.png,/img/splash/Udyr_0.jpg,/img/loading/Udyr_0.jpg,/img/tiles/Udyr_0.jpg
145,Urgot,アーゴット,ドレッドノート,3,Ranged,Physical,マナ,/img/champion/Urgot.png,/img/splash/Urgot_0.jpg,/img/loading/Urgot_0.jpg,/img/tiles/Urgot_0.jpg
146,Varus,ヴァルス,報復の一矢,1,Ranged,Mixed,マナ,/img/champion/Varus.png,/img/splash/Varus_0.jpg,/img/loading/Varus_0.jpg,/img/tiles/Varus_0.jpg
147,Vayne,ヴェイン,ナイトハンター,3,Ranged,Physical,マナ,/img/champion/Vayne.png,/img/splash/Vayne_0.jpg,/img/loading/Vayne_0.jpg,/img/tiles/Vayne_0.jpg
148,Veigar,ベイガー,小さき大魔王,2,Ranged,Magic,マナ,/img/champion/Veigar.png,/img/splash/Veigar_0.jpg,/img/loading/Veigar_0.jpg,/img/tiles/Veigar_0.jpg
149,Velkoz,ヴェル＝コズ,ヴォイドの瞳,3,Ranged,Magic,マナ,/img/champion/Velkoz.png,/img/splash/Velkoz_0.jpg,/img/loading/Velkoz_0.jpg,/img/tiles/Velkoz_0.jpg
150,Vex,ヴェックス,終わりなき憂鬱,1,Ranged,Magic,マナ,/img/champion/Vex.png,/img/splash/Vex_0.jpg,/img/loading/Vex_0.jpg,/img/tiles/Vex_0.jpg
151,Vi,ヴァイ,ピルトーヴァーの用心棒,2,Melee,Physical,マナ,/img/champion/Vi.png,/img/splash/Vi_0.jpg,/img/loading/Vi_0.jpg,/img/tiles/Vi_0.jpg
152,Viego,ヴィエゴ,滅びの王,2,Melee,Physical,なし,/img/champion/Viego.png,/img/splash/Viego_0.jpg,/img/loading/Viego_0.jpg,/img/tiles/Viego_0.jpg
153,Viktor,ビクター,アーケインの先触れ,3,Ranged,Magic,マナ,/img/champion/Viktor.png,/img/splash/Viktor_0.jpg,/img/loading/Viktor_0.jpg,/img/tiles/Viktor_0.jpg
154,Vladimir,ブラッドミア,真紅の死神,2,Ranged,Magic,真紅の衝動,/img/champion/Vladimir.png,/img/splash/Vladimir_0.jpg,/img/loading/Vladimir_0.jpg,/img/tiles/Vladimir_0.jpg
155,Volibear,ボリベア,無慈悲の嵐,1,Melee,Mixed,マナ,/img/champion/Volibear.png,/img/splash/Volibear_0.jpg,/img/loading/Volibear_0.jpg,/img/tiles/Volibear_0.jpg
156,Warwick,ワーウィック,解き放たれたゾウンの激憤,1,Melee,Mixed,マナ,/img/champion/Warwick.png,/img/splash/Warwick_0.jpg,/img/loading/Warwick_0.jpg,/img/tiles/Warwick_0.jpg
157,Xayah,ザヤ,反逆の刃,2,Ranged,Physical,マナ,/img/champion/Xayah.png,/img/splash/Xayah_0.jpg,/img/loading/Xayah_0.jpg,/img/tiles/Xayah_0.jpg
158,Xerath,ゼラス,超越魔神,3,Ranged,Magic,マナ,/img/champion/Xerath.png,/img/splash/Xerath_0.jpg,/img/loading/Xerath_0.jpg,/img/tiles/Xerath_0.jpg
159,XinZhao,シン・ジャオ,デマーシアの家令長,1,Melee,Physical,マナ,/img/champion/XinZhao.png,/img/splash/XinZhao_0.jpg,/img/loading/XinZhao_0.jpg,/img/tiles/XinZhao_0.jpg
160,Yasuo,ヤスオ,赦されざる者,3,Melee,Physical,つむじ風,/img/champion/Yasuo.png,/img/splash/Yasuo_0.jpg,/img/loading/Yasuo_0.jpg,/img/tiles/Yasuo_0.jpg
161,Yone,ヨネ,忘られざる者,3,Melee,Mixed,つむじ風,/img/champion/Yone.png,/img/splash/Yone_0.jpg,/img/loading/Yone_0.jpg,/img/tiles/Yone_0.jpg
162,Yorick,ヨリック,魂の導き手,2,Melee,Physical,マナ,/img/champion/Yorick.png,/img/splash/Yorick_0.jpg,/img/loading/Yorick_0.jpg,/img/tiles/Yorick_0.jpg
163,Yunara,ユナラ,揺るがぬ誓い,2,Ranged,Physical,マナ,/img/champion/Yunara.png,/img/splash/Yunara_0.jpg,/img/loading/Yunara_0.jpg,/img/tiles/Yunara_0.jpg
164,Yuumi,ユーミ,マジカルキャット,1,Ranged,Magic,マナ,/img/champion/Yuumi.png,/img/splash/Yuumi_0.jpg,/img/loading/Yuumi_0.jpg,/img/tiles/Yuumi_0.jpg
165,Zaahen,ザーヘン,沈まぬ者,1,Melee,Physical,マナ,/img/champion/Zaahen.png,/img/splash/Zaahen_0.jpg,/img/loading/Zaahen_0.jpg,/img/tiles/Zaahen_0.jpg
166,Zac,ザック,親愛なる秘密兵器,3,Melee,Magic,なし,/img/champion/Zac.png,/img/splash/Zac_0.jpg,/img/loading/Zac_0.jpg,/img/tiles/Zac_0.jpg
167,Zed,ゼド,影の頭領,2,Melee,Physical,気,/img/champion/Zed.png,/img/splash/Zed_0.jpg,/img/loading/Zed_0.jpg,/img/tiles/Zed_0.jpg
168,Zeri,ゼリ,ゾウンの火花,2,Ranged,Physical,マナ,/img/champion/Zeri.png,/img/splash/Zeri_0.jpg,/img/loading/Zeri_0.jpg,/img/tiles/Zeri_0.jpg
169,Ziggs,ジグス,ヘクス爆薬のエキスパート,2,Ranged,Magic,マナ,/img/champion/Ziggs.png,/img/splash/Ziggs_0.jpg,/img/loading/Ziggs_0.jpg,/img/tiles/Ziggs_0.jpg
170,Zilean,ジリアン,時の番人,2,Ranged,Magic,マナ,/img/champion/Zilean.png,/img/splash/Zilean_0.jpg,/img/loading/Zilean_0.jpg,/img/tiles/Zilean_0.jpg
171,Zoe,ゾーイ,超常の遊び,2,Ranged,Magic,マナ,/img/champion/Zoe.png,/img/splash/Zoe_0.jpg,/img/loading/Zoe_0.jpg,/img/tiles/Zoe_0.jpg
172,Zyra,ザイラ,茨の目覚め,2,Ranged,Magic,マナ,/img/champion/Zyra.png,/img/splash/Zyra_0.jpg,/img/loading/Zyra_0.jpg,/img/tiles/Zyra_0.jpg
